sample_uid	A1	C15	C15ev	C15by	C116aa	C15ai	16589_C	10255_C	C15wu	C15ad	C93l	C15dt	C15ks	67579_C	C15pm	C15tf	C116	C116ab	3075641_C	69713_C	C15qx	54734_C	C15jr	10257_C	C15gk	C15kl	139454_C	13451_C	C15gu	C15er	C15vq	7149_C	C15je	4548_C	C15ct	604_C	C15cn	C15ir	C15bb	C15sw	38402_C	4712_C	4686_C	139579_C	14683_C	C15ou	C15dn	C15bo	C116bf	154454_C	C15jk	C15qn	16193_C	139827_C	3089325_C	20702_C	C116ak	C15kt	C15bn	C116i	C116ao	4284019_C	C3pa	22917_C	17354_C	21431_C	151947_C	3085819_C	C15mg	C15af	54722_C	350908_C	C15bc	C15gr	C15ed	5144099_C	C15we	564_C	D1	D2ac	D2	D2d	D6	5144098_D	D1z	D1np	D17o	D4	D5
220370	0	28416	692	0	0	0	0	0	0	0	0	300	0	441	0	0	0	0	324	285	0	0	0	0	0	0	0	0	0	0	0	0	256	201	0	0	0	235	0	0	195	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220325	0	30636	762	0	0	0	0	291	0	0	0	313	0	427	0	0	0	0	304	252	0	0	0	0	0	0	0	0	0	0	0	0	252	209	0	0	191	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220372	0	26883	673	0	0	0	0	174	0	0	0	143	0	495	0	0	0	0	256	279	0	0	181	0	0	0	0	0	0	0	0	0	240	0	0	0	0	177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
220369	0	23293	576	0	0	0	0	187	0	0	0	123	0	334	0	0	0	0	271	241	0	0	0	0	0	0	0	0	0	0	0	0	161	177	0	0	177	144	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220374	0	23207	558	0	0	0	0	176	0	0	0	226	0	335	0	0	0	0	218	198	0	0	145	0	0	0	0	0	0	0	0	0	207	172	0	0	175	153	0	0	151	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220368	0	25519	608	0	0	0	0	196	0	0	0	243	0	350	0	0	0	0	337	250	0	0	157	0	0	0	0	0	0	0	0	0	202	201	0	0	181	167	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220367	0	23618	743	0	0	0	0	0	0	0	0	0	0	318	0	0	0	0	183	288	0	0	134	0	0	0	0	0	0	0	0	0	0	203	0	0	165	0	0	0	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	4	0	0	0	0	0	0
220329	0	20954	682	0	0	0	0	150	0	0	0	0	0	284	0	0	0	0	157	257	0	0	116	0	0	0	0	0	0	0	0	0	0	158	0	0	147	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220330	0	25977	596	0	0	0	0	165	0	0	0	0	0	417	0	0	0	0	266	200	0	0	152	0	0	0	0	0	0	0	0	0	232	199	0	0	167	179	0	0	151	0	0	0	0	0	0	0	0	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220324	0	32298	736	0	0	0	0	243	0	0	0	0	0	458	0	0	0	0	400	269	0	0	177	0	0	0	0	0	0	0	0	0	248	245	0	0	188	227	0	0	183	0	0	0	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	4	0
220328	0	24687	606	0	0	0	0	165	0	0	0	0	0	335	0	0	0	0	248	273	0	0	134	0	0	0	0	0	0	0	0	0	227	194	0	0	167	175	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
220326	0	17858	395	0	0	0	0	133	0	0	0	0	0	228	0	0	0	0	187	158	0	0	115	0	0	0	0	234	0	0	0	0	133	119	0	0	145	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220327	0	32066	991	0	0	0	0	197	0	0	0	0	0	420	0	0	0	0	303	448	0	0	180	0	0	0	0	0	0	0	0	0	219	221	0	0	226	190	0	0	297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
220371	0	21271	650	0	0	0	0	126	0	0	0	0	0	243	0	0	0	0	193	262	0	0	125	0	0	0	0	0	0	0	0	0	164	173	0	0	168	0	0	0	189	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	141	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220348	0	16675	0	426	0	204	270	0	326	0	0	132	231	0	104	0	0	0	0	0	106	108	108	0	112	0	0	0	0	125	0	0	0	0	189	0	0	0	260	0	0	0	0	0	0	0	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220364	0	21856	183	452	0	209	332	0	423	0	0	158	294	0	0	0	0	0	0	0	127	111	0	0	199	142	0	0	0	149	0	0	0	0	299	0	0	0	238	0	0	0	167	0	0	0	0	0	163	0	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0
220347	0	20101	0	275	449	253	97	393	183	180	427	0	103	0	0	392	0	119	0	0	0	0	122	0	0	0	238	231	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
